row_index,sequence_id,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
254,dataset5__car1_s,dataset5/car1_s,dataset5,car1_s,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_s\car1_s_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car1_s\annotation.txt,matched,UAV123/car1_s,,
255,dataset5__car2,dataset5/car2,dataset5,car2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car2\car2_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car2\annotation.txt,matched,UAV123/car2,,
256,dataset5__car2_s,dataset5/car2_s,dataset5,car2_s,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car2_s\car2_s_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car2_s\annotation.txt,matched,UAV123/car2_s,,
257,dataset5__car3,dataset5/car3,dataset5,car3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car3\car3_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car3\annotation.txt,matched,UAV20L/car3,,
258,dataset5__car3_s,dataset5/car3_s,dataset5,car3_s,local,scored,1300,1300,1300,1300,0.7341391941391942,0.8523076923076922,0.7814065934065934,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car3_s\car3_s_30.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV123\car3_s.txt,matched,UAV123/car3_s,,
259,dataset5__car4,dataset5/car4,dataset5,car4,local,scored,1345,1345,1345,1345,0.8293149229952205,0.9101079837139314,0.8616321472827049,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car4\car4_96.mp4,C:\Users\yousif\Documents\AIC Data\our-data\UAV123\anno\UAV123\car4.txt,matched,UAV123/car4,,
260,dataset5__car4_s,dataset5/car4_s,dataset5,car4_s,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car4_s\car4_s_30.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car4_s\annotation.txt,matched,UAV123/car4_s,,
261,dataset5__car5,dataset5/car5,dataset5,car5,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car5\car5_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car5\annotation.txt,matched,UAV123/car5,,
262,dataset5__car6_1,dataset5/car6_1,dataset5,car6_1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_1\car6_1_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_1\annotation.txt,matched,UAV123/car6_1,,
263,dataset5__car6_2,dataset5/car6_2,dataset5,car6_2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_2\car6_2_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_2\annotation.txt,matched,UAV123/car6_2,,
264,dataset5__car6_3,dataset5/car6_3,dataset5,car6_3,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_3\car6_3_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_3\annotation.txt,matched,UAV123/car6_3,,
265,dataset5__car6_4,dataset5/car6_4,dataset5,car6_4,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_4\car6_4_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_4\annotation.txt,matched,UAV123/car6_4,,
266,dataset5__car6_5,dataset5/car6_5,dataset5,car6_5,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_5\car6_5_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car6_5\annotation.txt,matched,UAV123/car6_5,,
267,dataset5__car7,dataset5/car7,dataset5,car7,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car7\car7_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car7\annotation.txt,matched,UAV123/car7,,
268,dataset5__car8_1,dataset5/car8_1,dataset5,car8_1,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car8_1\car8_1_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car8_1\annotation.txt,matched,UAV123/car8_1,,
269,dataset5__car8_2,dataset5/car8_2,dataset5,car8_2,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car8_2\car8_2_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car8_2\annotation.txt,matched,UAV123/car8_2,,
270,dataset5__car9,dataset5/car9,dataset5,car9,aic,unscored,0,0,0,0,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car9\car9_96.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset5\car9\annotation.txt,matched,UAV20L/car9,,
